r	c	score
mm_near-projecting glutamatergic cortical neuron	hs_87	0.52
mm_GABAergic neuron	hs_356	0.52
hs_128	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.52
hs_289	mm_vip GABAergic cortical interneuron	0.52
hs_437	mm_GABAergic neuron	0.52
hs_87	mm_near-projecting glutamatergic cortical neuron	0.52
mm_vip GABAergic cortical interneuron	hs_289	0.52
hs_356	mm_GABAergic neuron	0.52
mm_GABAergic neuron	hs_437	0.52
hs_371	mm_glutamatergic neuron	0.52
mm_glutamatergic neuron	hs_371	0.52
hs_231	mm_medium spiny neuron	0.51
mm_neuron	hs_347	0.51
hs_218	mm_direct pathway medium spiny neuron	0.51
hs_233	mm_medium spiny neuron	0.51
mm_medium spiny neuron	hs_231	0.51
mm_medium spiny neuron	hs_233	0.51
hs_387	mm_glutamatergic neuron	0.51
mm_amygdala excitatory neuron	hs_419	0.51
mm_direct pathway medium spiny neuron	hs_218	0.51
mm_glutamatergic neuron	hs_387	0.51
hs_419	mm_amygdala excitatory neuron	0.51
hs_347	mm_neuron	0.51
mm_amygdala excitatory neuron	hs_159	0.5
hs_189	mm_hippocampal CA1-3 neuron	0.5
mm_hippocampal CA1-3 neuron	hs_189	0.5
hs_399	mm_glutamatergic neuron	0.5
hs_401	mm_olfactory granule cell	0.5
hs_275	mm_lamp5 GABAergic cortical interneuron	0.5
mm_sst GABAergic cortical interneuron	hs_241	0.5
mm_glutamatergic neuron	hs_399	0.5
hs_159	mm_amygdala excitatory neuron	0.5
hs_241	mm_sst GABAergic cortical interneuron	0.5
mm_lamp5 GABAergic cortical interneuron	hs_275	0.5
mm_olfactory granule cell	hs_401	0.5
hs_325	mm_mammillary body neuron	0.49
mm_mammillary body neuron	hs_325	0.49
mm_mammillary body neuron	hs_323	0.49
mm_near-projecting glutamatergic cortical neuron	hs_91	0.49
hs_91	mm_near-projecting glutamatergic cortical neuron	0.49
hs_266	mm_chandelier pvalb GABAergic cortical interneuron	0.49
hs_323	mm_mammillary body neuron	0.49
mm_vip GABAergic cortical interneuron	hs_290	0.49
hs_290	mm_vip GABAergic cortical interneuron	0.49
mm_chandelier pvalb GABAergic cortical interneuron	hs_266	0.49
hs_104	mm_L6b glutamatergic cortical neuron	0.48
hs_147	mm_L6 intratelencephalic projecting glutamatergic neuron	0.48
hs_90	mm_near-projecting glutamatergic cortical neuron	0.48
hs_316	mm_glutamatergic neuron	0.48
hs_83	mm_near-projecting glutamatergic cortical neuron	0.48
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_129	0.48
mm_L6 intratelencephalic projecting glutamatergic neuron	hs_147	0.48
mm_near-projecting glutamatergic cortical neuron	hs_83	0.48
mm_glutamatergic neuron	hs_316	0.48
mm_near-projecting glutamatergic cortical neuron	hs_90	0.48
mm_L6b glutamatergic cortical neuron	hs_104	0.48
hs_129	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.48
hs_268	mm_Lamp5 Lhx6 neuron	0.47
mm_neuron	hs_350	0.47
hs_279	mm_caudal ganglionic eminence derived interneuron	0.47
mm_caudal ganglionic eminence derived interneuron	hs_279	0.47
mm_Lamp5 Lhx6 neuron	hs_268	0.47
hs_139	mm_L5 intratelencephalic projecting glutamatergic neuron	0.47
hs_423	mm_GABAergic neuron	0.47
mm_L5 intratelencephalic projecting glutamatergic neuron	hs_139	0.47
hs_350	mm_neuron	0.47
mm_GABAergic neuron	hs_423	0.47
hs_361	mm_GABAergic neuron	0.46
mm_hippocampal CA1-3 neuron	hs_183	0.46
hs_183	mm_hippocampal CA1-3 neuron	0.46
mm_GABAergic neuron	hs_361	0.46
mm_GABAergic neuron	hs_354	0.46
hs_354	mm_GABAergic neuron	0.46
hs_239	mm_sst GABAergic cortical interneuron	0.45
hs_269	mm_Lamp5 Lhx6 neuron	0.45
hs_415	mm_choroid plexus epithelial cell	0.45
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_169	0.45
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_176	0.45
hs_176	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.45
mm_sst GABAergic cortical interneuron	hs_239	0.45
hs_103	mm_L6b glutamatergic cortical neuron	0.45
mm_L6b glutamatergic cortical neuron	hs_103	0.45
mm_Lamp5 Lhx6 neuron	hs_269	0.45
hs_381	mm_GABAergic neuron	0.45
mm_GABAergic neuron	hs_381	0.45
mm_D1/D2-hybrid medium spiny neuron	hs_226	0.45
hs_169	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.45
hs_226	mm_D1/D2-hybrid medium spiny neuron	0.45
mm_choroid plexus epithelial cell	hs_415	0.45
hs_229	mm_medium spiny neuron	0.45
mm_medium spiny neuron	hs_229	0.45
mm_sncg GABAergic cortical interneuron	hs_280	0.44
hs_280	mm_sncg GABAergic cortical interneuron	0.44
hs_413	mm_glutamatergic neuron	0.44
mm_glutamatergic neuron	hs_413	0.44
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_167	0.43
hs_167	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.43
mm_amygdala excitatory neuron	hs_162	0.43
hs_162	mm_amygdala excitatory neuron	0.43
mm_glutamatergic neuron	hs_341	0.42
hs_341	mm_glutamatergic neuron	0.42
hs_392	mm_medial ganglionic eminence derived GABAergic cortical interneuron	0.42
mm_medial ganglionic eminence derived GABAergic cortical interneuron	hs_392	0.42
mm_neuron	hs_432	0.41
hs_300	mm_cerebellar neuron	0.41
mm_glutamatergic neuron	hs_372	0.41
hs_432	mm_neuron	0.41
hs_372	mm_glutamatergic neuron	0.41
mm_cerebellar neuron	hs_300	0.41
mm_neuron	hs_365	0.4
mm_L6b glutamatergic cortical neuron	hs_102	0.4
mm_mammillary body neuron	hs_327	0.4
hs_165	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.4
hs_327	mm_mammillary body neuron	0.4
hs_102	mm_L6b glutamatergic cortical neuron	0.4
hs_365	mm_neuron	0.4
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_165	0.4
mm_hippocampal CA1-3 neuron	hs_192	0.39
mm_cholinergic neuron	hs_400	0.39
hs_192	mm_hippocampal CA1-3 neuron	0.39
hs_333	mm_mammillary body neuron	0.39
hs_142	mm_L5 intratelencephalic projecting glutamatergic neuron	0.39
mm_glutamatergic neuron	hs_382	0.39
hs_144	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.39
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_144	0.39
mm_L5 intratelencephalic projecting glutamatergic neuron	hs_142	0.39
mm_glutamatergic neuron	hs_411	0.39
mm_GABAergic neuron	hs_412	0.39
hs_411	mm_glutamatergic neuron	0.39
hs_127	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.39
mm_GABAergic neuron	hs_389	0.39
mm_sst GABAergic cortical interneuron	hs_247	0.39
hs_389	mm_GABAergic neuron	0.39
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_130	0.39
hs_247	mm_sst GABAergic cortical interneuron	0.39
hs_400	mm_cholinergic neuron	0.39
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_127	0.39
hs_130	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.39
hs_412	mm_GABAergic neuron	0.39
mm_mammillary body neuron	hs_333	0.39
hs_382	mm_glutamatergic neuron	0.39
mm_Cajal-Retzius cell	hs_313	0.38
hs_278	mm_lamp5 GABAergic cortical interneuron	0.38
hs_140	mm_L5 intratelencephalic projecting glutamatergic neuron	0.38
mm_vip GABAergic cortical interneuron	hs_291	0.38
mm_lamp5 GABAergic cortical interneuron	hs_278	0.38
mm_L5 intratelencephalic projecting glutamatergic neuron	hs_140	0.38
hs_313	mm_Cajal-Retzius cell	0.38
hs_291	mm_vip GABAergic cortical interneuron	0.38
hs_318	mm_glutamatergic neuron	0.37
mm_glutamatergic neuron	hs_318	0.37
mm_hippocampal CA1-3 neuron	hs_185	0.37
hs_340	mm_glutamatergic neuron	0.37
mm_glutamatergic neuron	hs_319	0.37
hs_376	mm_glutamatergic neuron	0.37
mm_glutamatergic neuron	hs_376	0.37
hs_319	mm_glutamatergic neuron	0.37
mm_glutamatergic neuron	hs_340	0.37
hs_329	mm_mammillary body neuron	0.37
hs_457	mm_thalamic excitatory neuron	0.37
mm_mammillary body neuron	hs_329	0.37
mm_thalamic excitatory neuron	hs_457	0.37
hs_185	mm_hippocampal CA1-3 neuron	0.37
hs_407	mm_amygdala excitatory neuron	0.36
hs_317	mm_glutamatergic neuron	0.36
mm_glutamatergic neuron	hs_317	0.36
hs_353	mm_GABAergic neuron	0.36
mm_GABAergic neuron	hs_353	0.36
mm_amygdala excitatory neuron	hs_407	0.36
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_129	0.35
hs_352	mm_GABAergic neuron	0.35
mm_Lamp5 Lhx6 neuron	hs_267	0.35
hs_349	mm_neuron	0.35
hs_129	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.35
mm_GABAergic neuron	hs_352	0.35
hs_365	mm_glutamatergic neuron	0.35
hs_267	mm_Lamp5 Lhx6 neuron	0.35
mm_glutamatergic neuron	hs_365	0.35
mm_neuron	hs_349	0.35
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_170	0.34
hs_155	mm_amygdala excitatory neuron	0.34
hs_455	mm_thalamic excitatory neuron	0.34
hs_154	mm_amygdala excitatory neuron	0.34
mm_chandelier pvalb GABAergic cortical interneuron	hs_264	0.34
mm_thalamic excitatory neuron	hs_455	0.34
hs_170	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.34
hs_220	mm_direct pathway medium spiny neuron	0.34
mm_amygdala excitatory neuron	hs_155	0.34
mm_amygdala excitatory neuron	hs_154	0.34
hs_264	mm_chandelier pvalb GABAergic cortical interneuron	0.34
mm_L5 intratelencephalic projecting glutamatergic neuron	hs_144	0.34
hs_144	mm_L5 intratelencephalic projecting glutamatergic neuron	0.34
mm_L6b glutamatergic cortical neuron	hs_105	0.34
hs_105	mm_L6b glutamatergic cortical neuron	0.34
mm_direct pathway medium spiny neuron	hs_220	0.34
hs_143	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.33
mm_cerebellar granule cell	hs_309	0.33
mm_GABAergic neuron	hs_444	0.33
hs_415	mm_gonadotropin releasing neuron	0.33
hs_444	mm_GABAergic neuron	0.33
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_143	0.33
hs_309	mm_cerebellar granule cell	0.33
mm_gonadotropin releasing neuron	hs_415	0.33
mm_GABAergic neuron	hs_415	0.32
hs_415	mm_GABAergic neuron	0.32
hs_456	mm_thalamic excitatory neuron	0.32
hs_178	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.32
hs_396	mm_glutamatergic neuron	0.32
hs_346	mm_glutamatergic neuron	0.32
mm_glutamatergic neuron	hs_396	0.32
hs_97	mm_near-projecting glutamatergic cortical neuron	0.32
mm_near-projecting glutamatergic cortical neuron	hs_97	0.32
mm_amygdala excitatory neuron	hs_160	0.32
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_173	0.32
mm_thalamic excitatory neuron	hs_456	0.32
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_178	0.32
mm_glutamatergic neuron	hs_346	0.32
hs_173	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.32
hs_160	mm_amygdala excitatory neuron	0.32
mm_hippocampal CA1-3 neuron	hs_193	0.31
hs_240	mm_pvalb GABAergic cortical interneuron	0.31
hs_193	mm_hippocampal CA1-3 neuron	0.31
hs_321	mm_glutamatergic neuron	0.31
mm_glutamatergic neuron	hs_388	0.31
hs_388	mm_glutamatergic neuron	0.31
mm_pvalb GABAergic cortical interneuron	hs_240	0.31
mm_glutamatergic neuron	hs_321	0.31
mm_hippocampal CA1-3 neuron	hs_194	0.3
mm_glutamatergic neuron	hs_336	0.3
mm_cerebellar granule cell	hs_312	0.3
hs_167	mm_L2 intratelencephalic projecting glutamatergic neuron	0.3
mm_amygdala excitatory neuron	hs_163	0.3
hs_153	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.3
hs_158	mm_amygdala excitatory neuron	0.3
hs_194	mm_hippocampal CA1-3 neuron	0.3
mm_amygdala excitatory neuron	hs_158	0.3
hs_163	mm_amygdala excitatory neuron	0.3
hs_312	mm_cerebellar granule cell	0.3
mm_L2 intratelencephalic projecting glutamatergic neuron	hs_167	0.3
hs_336	mm_glutamatergic neuron	0.3
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_153	0.3
hs_113	mm_L5 extratelencephalic projecting glutamatergic cortical neuron	0.29
mm_cerebellar inhibitory GABAergic interneuron	hs_300	0.29
hs_415	mm_glutamatergic neuron	0.29
mm_glutamatergic neuron	hs_415	0.29
mm_L5 extratelencephalic projecting glutamatergic cortical neuron	hs_113	0.29
hs_300	mm_cerebellar inhibitory GABAergic interneuron	0.29
hs_136	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.28
mm_mammillary body neuron	hs_328	0.28
mm_GABAergic neuron	hs_365	0.28
hs_365	mm_GABAergic neuron	0.28
hs_239	mm_pvalb GABAergic cortical interneuron	0.28
mm_lamp5 GABAergic cortical interneuron	hs_283	0.28
hs_198	mm_hippocampal CA1-3 neuron	0.28
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_136	0.28
mm_pvalb GABAergic cortical interneuron	hs_239	0.28
hs_283	mm_lamp5 GABAergic cortical interneuron	0.28
mm_hippocampal CA1-3 neuron	hs_198	0.28
hs_328	mm_mammillary body neuron	0.28
hs_130	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.27
hs_299	mm_cerebellar inhibitory GABAergic interneuron	0.27
mm_cerebellar inhibitory GABAergic interneuron	hs_299	0.27
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_171	0.27
hs_171	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.27
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_130	0.27
mm_Lamp5 Lhx6 neuron	hs_271	0.26
hs_156	mm_amygdala excitatory neuron	0.26
hs_271	mm_Lamp5 Lhx6 neuron	0.26
mm_GABAergic neuron	hs_426	0.26
mm_dentate gyrus of hippocampal formation granule cell	hs_202	0.26
mm_amygdala excitatory neuron	hs_156	0.26
hs_202	mm_dentate gyrus of hippocampal formation granule cell	0.26
hs_426	mm_GABAergic neuron	0.26
mm_thalamic excitatory neuron	hs_372	0.25
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_157	0.25
hs_157	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.25
hs_392	mm_GABAergic neuron	0.25
mm_GABAergic neuron	hs_392	0.25
hs_372	mm_thalamic excitatory neuron	0.25
hs_273	mm_lamp5 GABAergic cortical interneuron	0.24
mm_L6 intratelencephalic projecting glutamatergic neuron	hs_146	0.24
mm_lamp5 GABAergic cortical interneuron	hs_273	0.24
hs_272	mm_lamp5 GABAergic cortical interneuron	0.24
mm_L5 intratelencephalic projecting glutamatergic neuron	hs_137	0.24
mm_lamp5 GABAergic cortical interneuron	hs_272	0.24
hs_137	mm_L5 intratelencephalic projecting glutamatergic neuron	0.24
hs_146	mm_L6 intratelencephalic projecting glutamatergic neuron	0.24
hs_137	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.23
hs_311	mm_pinealocyte	0.23
mm_pinealocyte	hs_311	0.23
mm_neuron	hs_380	0.23
hs_337	mm_GABAergic neuron	0.23
hs_380	mm_neuron	0.23
mm_GABAergic neuron	hs_337	0.23
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_137	0.23
mm_L5 intratelencephalic projecting glutamatergic neuron	hs_149	0.22
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_140	0.22
hs_351	mm_GABAergic neuron	0.22
hs_149	mm_L5 intratelencephalic projecting glutamatergic neuron	0.22
hs_427	mm_nucleus accumbens shell and olfactory tubercle D1 medium spiny neuron	0.22
mm_GABAergic neuron	hs_351	0.22
hs_140	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.22
mm_nucleus accumbens shell and olfactory tubercle D1 medium spiny neuron	hs_427	0.22
hs_411	mm_GABAergic neuron	0.21
mm_direct pathway medium spiny neuron	hs_219	0.21
hs_270	mm_Lamp5 Lhx6 neuron	0.21
mm_GABAergic neuron	hs_411	0.21
hs_219	mm_direct pathway medium spiny neuron	0.21
mm_Lamp5 Lhx6 neuron	hs_270	0.21
hs_127	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.2
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_127	0.2
hs_270	mm_lamp5 GABAergic cortical interneuron	0.2
mm_D1/D2-hybrid medium spiny neuron	hs_225	0.2
hs_339	mm_glutamatergic neuron	0.2
hs_391	mm_GABAergic neuron	0.2
hs_356	mm_raphe nuclei neuron	0.2
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_155	0.2
mm_Lamp5 Lhx6 neuron	hs_273	0.2
hs_429	mm_choroid plexus epithelial cell	0.2
mm_GABAergic neuron	hs_391	0.2
mm_raphe nuclei neuron	hs_356	0.2
hs_365	mm_cerebellum glutamatergic neuron	0.2
hs_155	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.2
mm_glutamatergic neuron	hs_339	0.2
mm_lamp5 GABAergic cortical interneuron	hs_270	0.2
mm_cerebellum glutamatergic neuron	hs_365	0.2
hs_225	mm_D1/D2-hybrid medium spiny neuron	0.2
mm_choroid plexus epithelial cell	hs_429	0.2
hs_273	mm_Lamp5 Lhx6 neuron	0.2
hs_305	mm_cerebellar neuron	0.19
mm_glutamatergic neuron	hs_338	0.19
hs_338	mm_glutamatergic neuron	0.19
mm_cerebellar neuron	hs_305	0.19
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_128	0.18
hs_322	mm_glutamatergic neuron	0.18
mm_astrocyte	hs_366	0.18
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_161	0.18
hs_128	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.18
hs_276	mm_caudal ganglionic eminence derived interneuron	0.18
hs_366	mm_astrocyte	0.18
hs_282	mm_lamp5 GABAergic cortical interneuron	0.18
mm_caudal ganglionic eminence derived interneuron	hs_276	0.18
mm_lamp5 GABAergic cortical interneuron	hs_282	0.18
mm_glutamatergic neuron	hs_322	0.18
hs_161	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.18
mm_intratelencephalic-projecting glutamatergic cortical neuron	hs_406	0.17
hs_415	mm_tanycyte	0.17
mm_glutamatergic neuron	hs_412	0.17
hs_276	mm_sncg GABAergic cortical interneuron	0.17
hs_406	mm_intratelencephalic-projecting glutamatergic cortical neuron	0.17
mm_tanycyte	hs_415	0.17
hs_412	mm_glutamatergic neuron	0.17
hs_401	mm_dentate gyrus of hippocampal formation granule cell	0.17
hs_378	mm_glutamatergic neuron	0.17
mm_dentate gyrus of hippocampal formation granule cell	hs_401	0.17
mm_sncg GABAergic cortical interneuron	hs_276	0.17
mm_lamp5 GABAergic cortical interneuron	hs_271	0.17
hs_226	mm_medium spiny neuron	0.17
mm_medium spiny neuron	hs_226	0.17
mm_glutamatergic neuron	hs_378	0.17
hs_271	mm_lamp5 GABAergic cortical interneuron	0.17
hs_157	mm_amygdala excitatory neuron	0.16
mm_amygdala excitatory neuron	hs_157	0.16
hs_145	mm_L6 intratelencephalic projecting glutamatergic neuron	0.16
hs_282	mm_sncg GABAergic cortical interneuron	0.16
hs_112	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	0.16
mm_L6 intratelencephalic projecting glutamatergic neuron	hs_145	0.16
mm_L6 corticothalamic-projecting glutamatergic cortical neuron	hs_112	0.16
mm_sncg GABAergic cortical interneuron	hs_282	0.16
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_158	0.15
hs_158	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.15
hs_331	mm_mammillary body neuron	0.14
mm_Bergmann glial cell	hs_308	0.14
hs_445	mm_thalamic excitatory neuron	0.14
hs_395	mm_glutamatergic neuron	0.14
mm_L6 corticothalamic-projecting glutamatergic cortical neuron	hs_84	0.14
mm_glutamatergic neuron	hs_395	0.14
mm_L5 intratelencephalic projecting glutamatergic neuron	hs_141	0.14
hs_299	mm_cerebellar neuron	0.14
mm_thalamic excitatory neuron	hs_445	0.14
hs_84	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	0.14
mm_mammillary body neuron	hs_331	0.14
hs_141	mm_L5 intratelencephalic projecting glutamatergic neuron	0.14
mm_cerebellar neuron	hs_299	0.14
hs_308	mm_Bergmann glial cell	0.14
mm_L6 corticothalamic-projecting glutamatergic cortical neuron	hs_85	0.13
hs_380	mm_GABAergic neuron	0.13
hs_227	mm_medium spiny neuron	0.13
mm_medium spiny neuron	hs_426	0.13
hs_85	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	0.13
mm_GABAergic neuron	hs_380	0.13
hs_426	mm_medium spiny neuron	0.13
hs_277	mm_lamp5 GABAergic cortical interneuron	0.13
hs_237	mm_pvalb GABAergic cortical interneuron	0.13
mm_medium spiny neuron	hs_227	0.13
mm_pvalb GABAergic cortical interneuron	hs_237	0.13
mm_lamp5 GABAergic cortical interneuron	hs_277	0.13
mm_intratelencephalic-projecting glutamatergic cortical neuron	hs_145	0.12
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_139	0.12
mm_glutamatergic neuron	hs_118	0.12
mm_L5 extratelencephalic projecting glutamatergic cortical neuron	hs_118	0.12
hs_145	mm_intratelencephalic-projecting glutamatergic cortical neuron	0.12
hs_283	mm_vip GABAergic cortical interneuron	0.12
hs_298	mm_cerebellar inhibitory GABAergic interneuron	0.12
hs_291	mm_sncg GABAergic cortical interneuron	0.12
hs_217	mm_GABAergic neuron	0.12
hs_379	mm_neuron	0.12
hs_237	mm_medial ganglionic eminence derived GABAergic cortical interneuron	0.12
hs_301	mm_cerebellar neuron	0.12
hs_118	mm_glutamatergic neuron	0.12
mm_vip GABAergic cortical interneuron	hs_283	0.12
mm_cerebellar inhibitory GABAergic interneuron	hs_298	0.12
mm_neuron	hs_379	0.12
hs_118	mm_L5 extratelencephalic projecting glutamatergic cortical neuron	0.12
mm_GABAergic neuron	hs_217	0.12
mm_sncg GABAergic cortical interneuron	hs_291	0.12
mm_medial ganglionic eminence derived GABAergic cortical interneuron	hs_237	0.12
mm_cerebellar neuron	hs_301	0.12
hs_139	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.12
hs_150	mm_astrocyte of the cerebral cortex	0.11
hs_192	mm_intratelencephalic-projecting glutamatergic cortical neuron	0.11
hs_180	mm_intratelencephalic-projecting glutamatergic cortical neuron	0.11
mm_intratelencephalic-projecting glutamatergic cortical neuron	hs_192	0.11
mm_L6b glutamatergic cortical neuron	hs_100	0.11
hs_100	mm_L6b glutamatergic cortical neuron	0.11
mm_D1/D2-hybrid medium spiny neuron	hs_227	0.11
mm_astrocyte of the cerebral cortex	hs_150	0.11
mm_intratelencephalic-projecting glutamatergic cortical neuron	hs_180	0.11
hs_227	mm_D1/D2-hybrid medium spiny neuron	0.11
hs_339	mm_neuron	0.1
hs_409	mm_olfactory granule cell	0.1
mm_neuron	hs_339	0.1
hs_146	mm_intratelencephalic-projecting glutamatergic cortical neuron	0.1
hs_237	mm_sst GABAergic cortical interneuron	0.1
hs_83	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	0.1
mm_L6 corticothalamic-projecting glutamatergic cortical neuron	hs_83	0.1
mm_intratelencephalic-projecting glutamatergic cortical neuron	hs_146	0.1
mm_olfactory granule cell	hs_409	0.1
mm_sst GABAergic cortical interneuron	hs_237	0.1
